elementId	reviewGroup	decisionStatus	targetCategory	roles	disposition	rationale	replacement	migrationGuideAnchor	ownerPhase	notes
constructor:org.hibernate.dialect.Dialect#<init>(org.hibernate.dialect.DatabaseVersion)	CONSTRUCTION	APPROVED	SPI	IMPLEMENT	RETAIN	Provider Dialect subclasses require a supported constructor accepting an explicitly chosen database version.			Phase 2	Constructor support is explicit and independent of type-level roles.
constructor:org.hibernate.dialect.Dialect#<init>(org.hibernate.engine.jdbc.dialect.spi.DialectResolutionInfo)	CONSTRUCTION	APPROVED	SPI	IMPLEMENT	RETAIN	Provider Dialect subclasses require a supported constructor accepting database metadata discovered during Dialect resolution.			Phase 2	Constructor support is explicit and independent of type-level roles.
method:org.hibernate.dialect.Dialect#castPattern(org.hibernate.query.sqm.CastType,org.hibernate.query.sqm.CastType)	TRANSLATION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects override this focused database rendering hook and may delegate unhandled cast combinations to the inherited implementation.			Phase 2	The focused rendering hook remains on Dialect; it does not select a full SQM translator.
method:org.hibernate.dialect.Dialect#getFallbackSqmInsertStrategy(org.hibernate.metamodel.mapping.EntityMappingType,org.hibernate.metamodel.spi.RuntimeModelCreationContext)	TRANSLATION	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects override this hook to supply the multi-table insert strategy required by their database capabilities.			Phase 5	Its reachable signature must contain only supported API or SPI.
method:org.hibernate.dialect.Dialect#getFallbackSqmMutationStrategy(org.hibernate.metamodel.mapping.EntityMappingType,org.hibernate.metamodel.spi.RuntimeModelCreationContext)	TRANSLATION	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects override this hook to supply the multi-table mutation strategy required by their database capabilities.			Phase 5	Its reachable signature must contain only supported API or SPI.
method:org.hibernate.dialect.Dialect#getHqlTranslator()	TRANSLATION	APPROVED	INTERNAL		REMOVE	HQL parsing and translator selection are global query-engine integration concerns rather than database Dialect behavior.	QueryEngineOptions global HQL translator integration		Phase 7	Direct removal without deprecation was approved; a versioned Migration Guide entry is mandatory.
method:org.hibernate.dialect.Dialect#getSetOperatorSqlString(org.hibernate.query.sqm.SetOperator)	TRANSLATION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects override this focused hook for database-specific set-operator rendering and may delegate standard operators to the inherited implementation.			Phase 2	This is focused database rendering rather than full SQM translator selection.
method:org.hibernate.dialect.Dialect#getSqlAstTranslatorFactory()	TRANSLATION	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply the SQL AST translator factory used to construct their database-specific translators.			Phase 4	The factory and its complete request and result boundaries require focused review before classification is applied.
method:org.hibernate.dialect.Dialect#getSqmTranslatorFactory()	TRANSLATION	APPROVED	INTERNAL		REMOVE	Database-local syntax variation should use focused capabilities; general SQM translator selection belongs to query-engine integration rather than Dialect.	Focused Dialect capabilities or QueryEngineOptions global SQM translator integration		Phase 7	Direct removal without deprecation was approved; a versioned Migration Guide entry is mandatory.
method:org.hibernate.dialect.Dialect#trimPattern(org.hibernate.query.sqm.TrimSpec,boolean)	TRANSLATION	APPROVED	SPI	USE,IMPLEMENT	RETAIN	Provider Dialects override this focused database rendering hook and may delegate supported trim forms to the inherited implementation.			Phase 2	The focused rendering hook remains on Dialect; it does not select a full SQM translator.
field:org.hibernate.dialect.Dialect#LEGACY_LOB_MERGE_STRATEGY	SUPPLIED_STRATEGY	APPROVED	SPI	USE	RETAIN	Provider Dialect subclasses may select Hibernate's documented legacy LOB merge policy without reimplementing it.			Phase 2	Protected policy constant intentionally available to Dialect implementors; no in-repository field access was observed.
